feature,importance
cat__ORIGIN_MEM,0.0
cat__ORIGIN_MKE,0.0
cat__ORIGIN_MSN,0.0
cat__ORIGIN_MSO,0.0
cat__ORIGIN_GSO,0.0
cat__ORIGIN_GRR,0.0
cat__ORIGIN_FLL,0.0
cat__ORIGIN_BZN,0.0
cat__ORIGIN_AMA,0.0
cat__ORIGIN_ANC,0.0
cat__ORIGIN_BDL,0.0
cat__ORIGIN_BOI,0.0
cat__ORIGIN_BUF,0.0
cat__ORIGIN_BUR,0.0
cat__ORIGIN_BWI,0.0
cat__ORIGIN_CAE,0.0
cat__ORIGIN_EWR,0.0
cat__ORIGIN_CHS,0.0
cat__ORIGIN_COS,0.0
cat__ORIGIN_DCA,0.0
cat__ORIGIN_DSM,0.0
cat__ORIGIN_EGE,0.0
cat__ORIGIN_ELP,0.0
cat__ORIGIN_EUG,0.0
cat__ORIGIN_MTJ,0.0
cat__ORIGIN_OGG,0.0
cat__ORIGIN_OMA,0.0
cat__DEST_BHM,0.0
cat__ORIGIN_TYS,0.0
cat__ORIGIN_XNA,0.0
cat__DEST_ABQ,0.0
cat__DEST_ANC,0.0
cat__DEST_ATL,0.0
cat__DEST_BDL,0.0
cat__DEST_BFL,0.0
cat__DEST_BOI,0.0
cat__ORIGIN_TPA,0.0
cat__DEST_BUF,0.0
cat__DEST_BUR,0.0
cat__DEST_BWI,0.0
cat__DEST_BZN,0.0
cat__DEST_CAE,0.0
cat__DEST_CHS,0.0
cat__DEST_CID,0.0
cat__ORIGIN_TUS,0.0
cat__ORIGIN_SYR,0.0
cat__ORIGIN_PBI,0.0
cat__ORIGIN_SBP,0.0
cat__ORIGIN_PHX,0.0
cat__ORIGIN_PIT,0.0
cat__ORIGIN_PNS,0.0
cat__ORIGIN_PSP,0.0
cat__ORIGIN_RDU,0.0
cat__ORIGIN_SAN,0.0
cat__ORIGIN_SAV,0.0
cat__ORIGIN_SEA,0.0
cat__ORIGIN_STT,0.0
cat__ORIGIN_SFO,0.0
cat__ORIGIN_SJC,0.0
cat__ORIGIN_SJU,0.0
cat__ORIGIN_SMF,0.0
cat__ORIGIN_SNA,0.0
cat__ORIGIN_SRQ,0.0
cat__ORIGIN_STL,0.0
cat__DEST_XNA,0.0
