feature,importance
num__noaa_origin_dep_precip_1h_flag,0.15933841
num__noaa_dest_arr_precip_1h_flag,0.027419215
num__noaa_origin_dep_ceiling_ft,0.022575805
num__MONTH,0.02243764
num__noaa_dest_arr_ifr_flag,0.020633398
num__noaa_origin_dep_temperature_c,0.019434694
cat__DEST_DFW,0.016240371
cat__ORIGIN_DFW,0.015229268
num__noaa_origin_dep_ifr_flag,0.01519978
num__CRS_DEP_TIME,0.014976019
num__noaa_origin_dep_dewpoint_c,0.014754101
cat__ORIGIN_SAN,0.014290586
cat__ORIGIN_MCO,0.013073502
num__noaa_origin_dep_sea_level_pressure_hpa,0.012671552
num__DAY_OF_MONTH,0.011660849
cat__ORIGIN_LAX,0.010067516
num__CRS_ARR_TIME,0.0098641645
cat__ORIGIN_LIT,0.008899442
num__noaa_dest_arr_dewpoint_c,0.008724954
num__noaa_dest_arr_temperature_c,0.0086265635
cat__ORIGIN_XNA,0.008234605
cat__DEST_AUS,0.007884369
num__noaa_dest_arr_ceiling_ft,0.007782301
cat__ORIGIN_PHX,0.007540101
cat__ORIGIN_ELP,0.007491755
cat__ORIGIN_SEA,0.007443156
num__noaa_origin_dep_visibility_m,0.007439014
cat__ORIGIN_LAS,0.007428359
num__noaa_origin_dep_wind_speed_ms,0.0074039283
cat__ORIGIN_FSD,0.006903257
cat__ORIGIN_MIA,0.0069006574
cat__DEST_EWR,0.006899353
num__noaa_dest_arr_wind_speed_ms,0.0063601397
cat__DEST_TPA,0.0062945504
cat__ORIGIN_FAT,0.0062145963
num__noaa_dest_arr_sea_level_pressure_hpa,0.006106823
num__DISTANCE,0.006070227
cat__ORIGIN_CMH,0.005906685
num__noaa_dest_arr_visibility_m,0.0058917706
cat__ORIGIN_OKC,0.0057356544
cat__DEST_SFO,0.0056918706
cat__DEST_MSY,0.0056114923
cat__ORIGIN_CVG,0.005540926
cat__ORIGIN_ORD,0.0054374477
cat__ORIGIN_SNA,0.005369705
cat__ORIGIN_SBP,0.005239032
